,activity,group,CMPD_CHEMBLID,exp
172,3.13,train,CHEMBL1542764,1.4299999
173,1.56,train,CHEMBL2181927,2.51
174,0.7,train,CHEMBL2334590,2.49
175,2.08,train,CHEMBL1480987,2.3099999
176,3.77,train,CHEMBL2335898,3.3399999
177,-0.9,train,CHEMBL401193,4.1300001
178,3.02,train,CHEMBL1950851,3.1199999
179,3.9,train,CHEMBL2035030,2.2
180,1.94,train,CHEMBL111955,1.77
181,3.72,train,CHEMBL316388,1.5
182,2.43,train,CHEMBL248380,2.5
183,0.75,train,CHEMBL235581,1.49
184,0.97,train,CHEMBL1682940,3.1700001
185,1.07,train,CHEMBL1471868,3.1900001
186,-0.38,train,CHEMBL1076211,1.65
187,2.43,train,CHEMBL1951022,2.8
188,3.55,train,CHEMBL1987793,3.8900001
189,-0.42,train,CHEMBL1947155,2.28
190,0.78,train,CHEMBL1939418,2.75
191,2.74,train,CHEMBL398295,3.97
192,3.56,train,CHEMBL174107,-0.83999997
193,2.33,train,CHEMBL2089280,1.6
194,1.59,train,CHEMBL139347,2.4000001
195,1.46,train,CHEMBL1623,3.3900001000000004
196,2.4,train,CHEMBL2171034,1.79
197,2.5,train,CHEMBL1689115,1.01
198,2.16,train,CHEMBL1628691,3.6199999
199,-0.15,train,CHEMBL1515447,2.3599999
200,3.3,train,CHEMBL559968,1.29
201,0.4,train,CHEMBL1180299,1.1
202,3.69,train,CHEMBL2335897,2.1500001
203,3.3,train,CHEMBL204476,1.98
204,2.3,train,CHEMBL2164680,3.5
205,2.55,train,CHEMBL109396,1.17
206,1.14,train,CHEMBL551765,2.53
207,3.46,train,CHEMBL14690,1.13
208,3.99,train,CHEMBL2089276,1.3
209,1.35,train,CHEMBL1917461,0.34999999
210,3.99,train,CHEMBL366080,1.8
211,2.5,train,CHEMBL306262,3.2
212,1.28,train,CHEMBL1950724,0.81999999
213,4.0,train,CHEMBL2059864,3.1900001
214,0.2,train,CHEMBL1165028,3.3
215,3.0,train,CHEMBL2158836,2.5
216,2.82,train,CHEMBL205807,2.3499999
217,1.84,train,CHEMBL576068,1.73
218,0.12,train,CHEMBL142715,3.3
219,0.96,train,CHEMBL409493,2.3099999
220,3.81,train,CHEMBL1945297,2.4100001
221,3.16,train,CHEMBL2321991,0.61000001
222,1.73,train,CHEMBL2164670,3.5699999
223,0.84,train,CHEMBL182150,3.1300001
224,1.74,train,CHEMBL1788268,1.5599999
225,1.32,train,CHEMBL1180288,0.69999999
226,2.7,train,CHEMBL2158792,2.0799999
227,3.5,train,CHEMBL490512,3.77
228,1.92,train,CHEMBL813,-0.89999998
229,1.7,train,CHEMBL2158835,2.5
230,1.02,train,CHEMBL75880,3.02
231,2.32,train,CHEMBL1762545,3.9000001
232,2.8,train,CHEMBL1975242,1.9400001
233,3.72,train,CHEMBL1682948,3.72
234,4.18,train,CHEMBL2331753,2.27
235,2.32,train,CHEMBL74355,1.7
236,2.43,train,CHEMBL250540,2.4300001
237,2.92,train,CHEMBL1559730,3.2
238,1.38,train,CHEMBL2086650,3.27
239,2.0,train,CHEMBL237616,0.75
240,1.35,train,CHEMBL1607641,0.97000003
241,2.83,train,CHEMBL1201373,1.0700001
242,2.1,train,CHEMBL2179669,-0.38
243,2.36,train,CHEMBL1479463,2.0
244,3.18,train,CHEMBL976,2.4300001
245,3.2,train,CHEMBL1213085,3.55
246,3.4,train,CHEMBL2152076,2.5
247,2.95,train,CHEMBL1467,-0.41999999
248,3.3,train,CHEMBL1934423,0.77999997
249,3.4,train,CHEMBL119385,2.74
250,3.49,train,CHEMBL1917421,3.5599999
251,2.37,train,CHEMBL207028,2.3299999
252,0.78,train,CHEMBL212777,1.59
253,3.29,train,CHEMBL1916532,1.46
254,3.11,train,CHEMBL2041980,2.4000001
255,3.2,train,CHEMBL1682825,2.5
256,2.7,train,CHEMBL1371,2.1600001
257,0.73,train,CHEMBL322122,-0.15000001
258,1.96,train,CHEMBL2035018,3.3
259,3.47,train,CHEMBL1689110,0.40000001
260,1.92,train,CHEMBL1770471,3.6900001
261,2.96,train,CHEMBL1738840,1.6900001
262,3.1,train,CHEMBL379787,3.3
263,3.9,train,CHEMBL447426,2.3
264,2.53,train,CHEMBL418822,3.05
265,2.7,train,CHEMBL97,2.1600001
266,0.81,train,CHEMBL1789941,2.55
267,1.89,train,CHEMBL294209,1.14
268,3.0,train,CHEMBL2147033,3.3199999
269,0.65,train,CHEMBL2062561,2.97
270,1.11,train,CHEMBL1359777,3.46
271,3.73,train,CHEMBL47361,3.99
272,2.16,train,CHEMBL168552,1.35
273,3.13,train,CHEMBL1778642,-0.75
274,3.67,train,CHEMBL249789,3.99
275,2.95,train,CHEMBL59956,2.5
276,3.02,train,CHEMBL2142704,0.56
277,3.02,train,CHEMBL1068,1.28
278,2.1,train,CHEMBL250961,4.0
279,0.05,train,CHEMBL1300982,2.8
280,3.48,train,CHEMBL1917436,0.2
281,3.9,train,CHEMBL1682822,3.0
282,1.39,train,CHEMBL654,2.8199999
283,3.22,train,CHEMBL499028,0.91000003
284,2.18,train,CHEMBL2171993,1.4
285,1.89,train,CHEMBL198114,1.84
286,2.3,train,CHEMBL1807823,0.12
287,3.56,train,CHEMBL2057372,0.95999998
288,3.15,train,CHEMBL1682957,3.8099999
289,0.47,train,CHEMBL1951076,2.0699999
290,2.46,train,CHEMBL575448,3.1600001
291,1.69,train,CHEMBL1886726,1.73
292,2.13,train,CHEMBL474432,0.83999997
293,0.99,train,CHEMBL1807871,1.74
294,4.2,train,CHEMBL2078873,1.3200001
295,1.9,train,CHEMBL335744,2.7
296,1.98,train,CHEMBL585,1.16
297,2.51,train,CHEMBL74582,3.0699999
298,1.6,train,CHEMBL1783119,3.5
299,0.8,train,CHEMBL322271,1.92
300,2.41,train,CHEMBL660,-0.98000002
301,2.3,train,CHEMBL2325726,1.7
302,0.31,train,CHEMBL358816,1.02
303,2.1,train,CHEMBL216981,2.3199999
304,2.72,train,CHEMBL2346972,2.8
305,0.01,train,CHEMBL2036739,3.72
306,2.82,train,CHEMBL44722,4.1799998
307,4.02,train,CHEMBL1939749,2.3199999
308,0.76,train,CHEMBL175296,2.4300001
309,2.79,train,CHEMBL1800526,2.9200001
310,2.8,train,CHEMBL741,1.38
311,0.92,train,CHEMBL1770477,4.23
312,1.42,train,CHEMBL1604571,-0.2
313,1.68,train,CHEMBL426161,2.0
314,0.7,train,CHEMBL2325714,1.35
315,4.46,train,CHEMBL2177165,2.8299999
316,2.28,train,CHEMBL2325735,2.0999999
317,2.49,train,CHEMBL2036576,2.3599999
318,3.1,train,CHEMBL1682965,3.1800001
319,2.0,train,CHEMBL1809229,3.2
320,2.61,train,CHEMBL387125,2.23
321,0.29,train,CHEMBL2325983,3.4000001
322,2.67,train,CHEMBL2208429,2.95
323,2.74,train,CHEMBL387545,3.3
324,3.01,train,CHEMBL2023350,3.4000001
325,2.41,train,CHEMBL1889452,2.1099999
326,2.41,train,CHEMBL2216859,3.49
327,3.5,train,CHEMBL273449,2.3699999
328,0.83,train,CHEMBL509,2.3299999
329,3.16,train,CHEMBL2164745,0.77999997
330,1.2,train,CHEMBL2023802,3.29
331,2.02,train,CHEMBL567161,3.1099999
332,1.49,train,CHEMBL1682824,3.2
333,0.87,train,CHEMBL184659,2.7
334,3.13,train,CHEMBL1684,1.78
335,3.65,train,CHEMBL193646,0.73000002
336,4.2,train,CHEMBL153036,1.96
337,1.9,train,CHEMBL390674,3.47
338,4.5,train,CHEMBL2029359,1.92
339,3.01,train,CHEMBL50161,2.96
340,2.9,train,CHEMBL2086691,3.0999999
341,2.45,train,CHEMBL1703518,3.9000001
342,3.4,train,CHEMBL1084762,2.53
343,-0.28,train,CHEMBL1290746,2.5999999
344,1.8,train,CHEMBL225363,2.7
345,2.95,train,CHEMBL193757,0.81
346,3.4,train,CHEMBL1382733,1.2
347,1.37,train,CHEMBL1190521,1.89
348,1.6,train,CHEMBL210887,3.0
349,4.1,train,CHEMBL1916264,0.64999998
350,2.65,train,CHEMBL226856,1.11
351,2.24,train,CHEMBL2361579,2.8
352,2.42,train,CHEMBL1308863,2.96
353,-0.58,train,CHEMBL1762157,3.73
354,1.22,train,CHEMBL100675,2.1600001
355,1.34,train,CHEMBL2207286,3.1300001
356,1.93,train,CHEMBL428777,3.6700001
357,3.3,train,CHEMBL644,2.95
358,3.84,train,CHEMBL1608462,3.8
359,1.55,train,CHEMBL2207659,3.02
360,2.2,train,CHEMBL2107729,3.02
361,2.7,train,CHEMBL101119,2.0999999
362,3.9,train,CHEMBL22242,0.050000001
363,2.75,train,CHEMBL1094250,3.48
364,2.94,train,CHEMBL2336320,2.8199999
365,4.36,train,CHEMBL239767,3.9000001
366,1.63,train,CHEMBL2171036,1.39
367,2.65,train,CHEMBL250132,3.22
368,3.44,train,CHEMBL235579,2.1800001
369,2.98,train,CHEMBL514384,2.75
370,3.5,train,CHEMBL294878,3.2
371,0.5,train,CHEMBL686,1.89
372,1.6,train,CHEMBL167226,2.3
373,0.9,train,CHEMBL550438,3.5599999
374,2.4,train,CHEMBL301265,3.1500001
375,2.0,train,CHEMBL1807855,0.47
376,2.37,train,CHEMBL1232461,2.46
377,4.2,train,CHEMBL403812,1.6900001
378,2.4,train,CHEMBL521809,2.1300001
379,3.9,train,CHEMBL1807870,0.99000001
380,2.9,train,CHEMBL481563,3.8699999
381,1.64,train,CHEMBL1592130,4.1999998
382,3.92,train,CHEMBL173706,-0.34999999
383,2.94,train,CHEMBL1916086,1.9
384,2.03,train,CHEMBL2036748,1.98
385,1.21,train,CHEMBL1800660,2.51
386,4.0,train,CHEMBL2171049,1.6
387,1.49,train,CHEMBL2333941,0.80000001
388,1.99,train,CHEMBL2151323,2.4100001
389,2.0,train,CHEMBL2325014,2.3
390,3.84,train,CHEMBL1073,0.31
391,1.13,train,CHEMBL280713,2.0999999
392,2.47,train,CHEMBL1721498,2.72
393,2.41,train,CHEMBL1945292,0.0099999998
394,3.57,train,CHEMBL520742,2.8199999
395,2.62,train,CHEMBL1430654,4.02
396,1.37,train,CHEMBL1738761,0.75999999
397,2.21,train,CHEMBL2023801,2.79
398,3.3,train,CHEMBL100945,2.8
399,3.02,train,CHEMBL99408,1.33
400,1.52,train,CHEMBL1950722,1.65
401,0.68,train,CHEMBL1917462,0.92000002
402,2.23,train,CHEMBL1824031,1.42
403,2.76,train,CHEMBL258175,1.6799999
404,2.88,train,CHEMBL474484,0.69999999
405,3.0,train,CHEMBL260091,2.03
406,2.3,train,CHEMBL2208432,4.46
407,3.09,train,CHEMBL1917455,2.28
408,2.9,train,CHEMBL481611,2.9000001
409,3.62,train,CHEMBL11,2.49
410,3.5,train,CHEMBL1682836,3.0999999
411,2.99,train,CHEMBL14516,2.0
412,2.9,train,CHEMBL6966,2.6099999
413,-0.4,train,CHEMBL575492,3.3699999
414,-0.2,train,CHEMBL2031563,0.28999999
415,2.7,train,CHEMBL621,2.6700001
416,3.8,train,CHEMBL208487,2.74
417,3.45,train,CHEMBL1956334,3.01
418,4.0,train,CHEMBL115022,2.4100001
419,2.3,train,CHEMBL400883,2.4100001
420,1.39,train,CHEMBL1809198,3.5
421,0.53,train,CHEMBL546,0.2
422,2.24,train,CHEMBL1914480,0.82999998
423,1.37,train,CHEMBL1346348,3.1600001
424,2.89,train,CHEMBL452530,1.2
425,0.54,train,CHEMBL10975,2.02
426,2.61,train,CHEMBL2070947,1.49
427,2.3,train,CHEMBL588,0.87
428,2.61,train,CHEMBL445162,3.1300001
429,1.4,train,CHEMBL1824038,-0.11
430,1.93,train,CHEMBL1783259,3.6500001
431,2.17,train,CHEMBL488881,4.1999998
432,3.18,train,CHEMBL1491421,1.9
433,3.12,train,CHEMBL1164652,3.5799999
434,1.9,train,CHEMBL440335,4.5
435,1.06,train,CHEMBL2164668,3.01
436,2.61,train,CHEMBL259850,2.9000001
437,1.2,train,CHEMBL241609,2.45
438,2.19,train,CHEMBL2152918,3.4000001
439,1.78,train,CHEMBL1945294,-0.28
440,1.3,train,CHEMBL1258188,3.3099999
441,3.15,train,CHEMBL1214185,1.8
442,3.7,train,CHEMBL479847,2.95
443,2.28,train,CHEMBL2086675,3.4000001
444,0.29,train,CHEMBL2349324,4.5
445,2.7,train,CHEMBL383760,3.6500001
446,1.24,train,CHEMBL1934268,0.94999999
447,3.1,train,CHEMBL158766,1.37
448,-0.78,train,CHEMBL837,1.6
449,1.02,train,CHEMBL2110732,4.0999998999999985
450,2.65,train,CHEMBL2325601,2.6500001
451,2.87,train,CHEMBL1209658,2.71
452,2.0,train,CHEMBL2062571,2.24
453,2.58,train,CHEMBL2153435,2.4200001
454,2.55,train,CHEMBL1209739,3.1300001
455,1.2,train,CHEMBL1364,-0.57999998
456,0.38,train,CHEMBL453053,1.22
457,3.44,train,CHEMBL2059000,0.5
458,3.6,train,CHEMBL421604,1.34
459,3.08,train,CHEMBL2171042,1.84
460,2.22,train,CHEMBL2172001,1.9299999
461,2.11,train,CHEMBL2062566,3.3
462,0.81,train,CHEMBL107920,3.8399999
463,2.0,train,CHEMBL1831130,1.55
464,1.68,train,CHEMBL230641,4.21
465,2.16,train,CHEMBL98406,2.2
466,3.1,train,CHEMBL376813,2.7
467,3.13,train,CHEMBL26894,0.36000001
468,1.84,train,CHEMBL329672,3.9000001
469,3.6,train,CHEMBL1946026,2.75
470,1.21,train,CHEMBL1288221,2.9400001
471,2.5,train,CHEMBL1574150,4.3600001
472,1.66,train,CHEMBL272282,1.63
473,1.2,train,CHEMBL128613,2.79
474,3.65,train,CHEMBL251202,2.6500001
475,0.91,train,CHEMBL1430943,3.4400001
476,2.06,train,CHEMBL605785,2.98
477,1.26,train,CHEMBL128514,3.5
478,3.41,train,CHEMBL440464,0.5
479,3.5,train,CHEMBL104298,1.6
480,3.8,train,CHEMBL6399,0.89999998
481,3.37,train,CHEMBL271939,2.4000001
482,1.19,train,CHEMBL303714,0.40000001
483,3.0,train,CHEMBL1559397,-0.80000001
484,0.42,train,CHEMBL1834385,2.0
485,1.59,train,CHEMBL2326693,2.3699999
486,1.09,train,CHEMBL1762537,4.1999998
487,1.2,train,CHEMBL1730860,3.3
488,1.97,train,CHEMBL2164688,2.4000001
489,1.9,train,CHEMBL318021,2.4000001
490,2.55,train,CHEMBL2164377,3.9000001
491,2.98,train,CHEMBL208330,2.9000001
492,3.95,train,CHEMBL1950864,1.64
493,1.09,train,CHEMBL2164689,4.1999998
494,-0.4,train,CHEMBL279053,3.9200001
495,3.0,train,CHEMBL898,0.58999997
496,0.36,train,CHEMBL1824832,2.9400001
497,0.51,train,CHEMBL66953,2.03
498,3.27,train,CHEMBL2331752,2.3499999
499,3.61,train,CHEMBL1807826,1.21
500,2.19,train,CHEMBL1917419,2.8699999
501,-0.35,train,CHEMBL2059869,2.71
502,2.8,train,CHEMBL180184,4.0
503,4.05,train,CHEMBL1201203,1.49
504,1.75,train,CHEMBL1947153,1.99
505,1.99,train,CHEMBL388473,2.0
506,1.6,train,CHEMBL2104196,1.7
507,2.0,train,CHEMBL2312933,2.5999999
508,3.3,train,CHEMBL480601,3.8399999
509,1.32,train,CHEMBL652,1.13
510,1.7,train,CHEMBL2326689,2.47
511,2.78,train,CHEMBL370826,2.4100001
512,2.54,train,CHEMBL2062570,3.5699999
513,2.2,train,CHEMBL28636,2.8
514,1.2,train,CHEMBL2104625,0.67000002
515,2.22,train,CHEMBL15706,2.3
516,0.79,train,CHEMBL1835918,2.6199999
517,2.75,train,CHEMBL1456596,1.37
518,2.3,train,CHEMBL358325,2.5799999
519,2.53,train,CHEMBL465305,2.21
520,2.25,train,CHEMBL1957840,3.3
521,0.95,train,CHEMBL2335905,3.02
522,2.77,train,CHEMBL1689136,1.52
523,3.23,train,CHEMBL2048864,0.68000001
524,2.9,train,CHEMBL314034,3.8299999
525,3.04,train,CHEMBL417727,2.23
526,1.46,train,CHEMBL409494,2.76
527,2.26,train,CHEMBL514690,2.8800001
528,3.1,train,CHEMBL1762541,3.0
529,1.86,train,CHEMBL365903,2.3
530,0.98,train,CHEMBL472455,3.0899999
531,1.99,train,CHEMBL2107366,2.9000001
532,4.04,train,CHEMBL1682961,3.6199999
533,2.16,train,CHEMBL1957374,3.5
534,2.63,train,CHEMBL1164033,2.99
535,-0.62,train,CHEMBL1915315,2.9000001
536,3.01,train,CHEMBL2087421,-0.40000001
537,3.72,train,CHEMBL1508448,-0.2
538,3.4,train,CHEMBL14323,2.7
539,2.77,train,CHEMBL456381,3.7
540,4.37,train,CHEMBL2147569,3.8
541,3.6,train,CHEMBL1809223,3.5
542,3.24,train,CHEMBL2325719,1.7
543,3.46,train,CHEMBL129982,3.45
544,2.1,train,CHEMBL562310,3.28
545,2.74,train,CHEMBL1233689,1.51
546,-0.59,train,CHEMBL191974,4.0
547,3.89,train,CHEMBL2062555,2.3
548,2.85,train,CHEMBL1829409,1.39
549,0.45,train,CHEMBL313206,0.52999997
550,2.79,train,CHEMBL421583,2.24
551,2.4,train,CHEMBL1903477,1.37
552,2.91,train,CHEMBL2068881,3.9200001
553,2.75,train,CHEMBL564607,2.48
554,1.21,train,CHEMBL201307,2.8900001
555,1.52,train,CHEMBL1689134,0.54000002
556,1.91,train,CHEMBL2153184,2.6099999
557,2.94,train,CHEMBL1957850,2.3
558,-1.4,train,CHEMBL464552,2.6099999
559,2.06,train,CHEMBL1940315,1.4
560,1.38,train,CHEMBL129529,1.9299999
561,0.67,train,CHEMBL2158819,2.1700001
562,3.4,train,CHEMBL2321994,0.05999999900000001
563,2.9,train,CHEMBL439871,3.1800001
564,1.0,train,CHEMBL467028,3.1199999
565,1.41,train,CHEMBL2010838,1.9
566,2.54,train,CHEMBL1449167,1.0599999
567,3.7,train,CHEMBL1201,3.1600001
568,1.1,train,CHEMBL1762539,2.6099999
569,3.18,train,CHEMBL99689,1.2
570,3.2,train,CHEMBL86754,2.1900001
571,1.2,train,CHEMBL226781,1.78
572,0.86,train,CHEMBL1944692,1.3
573,3.6,train,CHEMBL809,3.1500001
574,2.68,train,CHEMBL2086676,3.7
575,2.83,train,CHEMBL2153304,2.28
576,2.9,train,CHEMBL288524,0.28999999
577,2.48,train,CHEMBL311862,2.7
578,1.5,train,CHEMBL549344,1.24
579,3.45,train,CHEMBL426851,1.61
580,0.22,train,CHEMBL365472,3.0999999
581,1.32,train,CHEMBL20,-0.77999997
582,0.97,train,CHEMBL1689124,1.02
583,1.17,train,CHEMBL182878,2.9000001
584,1.9,train,CHEMBL1079772,2.6500001
585,2.83,train,CHEMBL11428,2.8699999
586,2.92,train,CHEMBL2035028,2.0
587,1.3,train,CHEMBL2062572,2.5799999
588,-0.51,train,CHEMBL408194,2.55
589,1.8,train,CHEMBL254359,1.2
590,3.67,train,CHEMBL1789148,0.38
591,2.73,train,CHEMBL1477550,3.4400001
592,3.2,train,CHEMBL371888,3.5999999
593,2.58,train,CHEMBL2335893,3.0799999
594,1.11,train,CHEMBL11144,2.22
595,2.46,train,CHEMBL216769,2.1099999
596,0.12,train,CHEMBL213854,0.52999997
597,3.65,train,CHEMBL1950725,0.81
598,2.75,train,CHEMBL1916280,0.66000003
599,1.41,train,CHEMBL2171014,2.0
600,1.23,train,CHEMBL213029,1.6799999
601,1.84,train,CHEMBL422329,2.1600001
602,3.61,train,CHEMBL2036594,2.8
603,1.99,train,CHEMBL214376,3.0999999
604,1.8,train,CHEMBL2110360,3.1300001
605,2.8,train,CHEMBL1934270,1.84
606,2.88,train,CHEMBL378730,1.27
607,3.2,train,CHEMBL1545465,2.4200001
608,2.53,train,CHEMBL411799,3.5999999
609,1.02,train,CHEMBL1870384,3.3800001
610,2.72,train,CHEMBL2208437,1.21
611,0.77,train,CHEMBL2010843,2.5
612,2.24,train,CHEMBL1689133,1.66
613,0.23,train,CHEMBL263655,1.2
614,1.13,train,CHEMBL244936,3.3
615,2.87,train,CHEMBL2164687,3.6500001
616,-0.12,train,CHEMBL1945044,0.91000003
617,1.75,train,CHEMBL57531,2.0599999
618,1.4,train,CHEMBL2158832,1.26
